startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus
64d9ed77e4b0f4b8e2694a82,PRAVIN BORKUTE COTSPIN PRIVATE LIMITED,DIPP143038,RECOGNISED,U17301MH2022PTC380390,Validation,Nagpur,Maharashtra,Textiles & Apparel,Others,,,,,OK
64d77b2ce4b033b7ac84e836,OABCO INNOVATIONS PRIVATE LIMITED,DIPP142496,RECOGNISED,U62011MH2023PTC405323,Validation,Nagpur,Maharashtra,Enterprise Software,Cloud,https://oabco.in/,,,,OK
64d75c66e4b033b7ac84df96,GRAMYA VENTURES PRIVATE LIMITED,DIPP142482,RECOGNISED,U01100MH2020PTC344822,EarlyTraction,Nagpur,Maharashtra,Agriculture,Agri-Tech,https://www.gramyaventures.com/,,,,OK
64d62ec5e4b033b7ac84b800,KEEYGREDIENTS HEALTHFOODS LLP,DIPP142447,RECOGNISED,ACC-2472,Prototype,Nagpur,Maharashtra,Food & Beverages,Food Processing,,,,,OK
64d38707e4b0328477b0fd9b,BIOWALL AGRIHEALTH PRIVATE LIMITED,DIPP142310,RECOGNISED,U01611MH2023PTC403655,Validation,Nagpur,Maharashtra,Agriculture,Horticulture,mitrasena.com,,,,OK
64d1f278e4b06ac59f048a92,HOMSLOO SANITECH PRIVATE LIMITED,DIPP142005,RECOGNISED,U37003MH2023PTC408181,Validation,Nagpur,Maharashtra,Waste Management,Others,,,,,OK
64d1e3e5e4b0fe478f248efa,KORADI INFRA SERVICES SOLUTION PRIVATE LIMITED,DIPP141997,RECOGNISED,U46901PN2023PTC219093,Validation,Nagpur,Maharashtra,Construction,Others,https://www.koradiinfra.com/,,,,OK
64d0cc46e4b0c4486e8b032e,BEDIENUNG SOLUTION PRIVATE LIMITED,DIPP141939,RECOGNISED,U33150MH2023PTC401502,Validation,Nagpur,Maharashtra,Agriculture,Agri-Tech,www.tractorseva.com,,,,OK
64cf4f6ee4b0c4486e8ad0c5,ORIGIN FOOD AND AGROFX (OPC) PRIVATE LIMITED,DIPP141756,RECOGNISED,U10795MH2023OPC405004,Prototype,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://theorigininternational.com/products/,,,,OK
64cde598e4b0c4486e8aa739,TRUE GRADE IMPEX PRIVATE LIMITED,DIPP141698,RECOGNISED,U21093MH2022PTC375273,Validation,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Supplies,,,,,OK
64ccfd4de4b0c4486e8a8dfb,UNICIRCUIT ENGINEERING SERVICES LLP,DIPP141675,RECOGNISED,AAX-1820,Scaling,Nagpur,Maharashtra,Internet of Things,Others,https://unicircuites.com/,,,,OK
64cba4cfe4b0c4486e8a506c,OSK IT SOLUTIONS PRIVATE LIMITED,DIPP141604,RECOGNISED,U62099MH2023PTC406419,Prototype,Nagpur,Maharashtra,Marketing,Others,oskitsolutions.in,,,,OK
64ca5355e4b0c4486e8a143b,ASTABRATA TOKENIZATION PRIVATE LIMITED,DIPP141523,RECOGNISED,U62099MH2023PTC399714,Prototype,Nagpur,Maharashtra,Enterprise Software,Others,,,,,OK
64ca2f63e4b0c4486e8a0687,CUPDA PROJECT PRIVATE LIMITED,DIPP141338,RECOGNISED,U14201MH2023PTC403641,EarlyTraction,Nagpur,Maharashtra,Fashion,Apparel,www.thekapdaproject.com,,,,OK
