startupId,startupName,searchEngine,searchQuery,candidateURL,candidateDomain,candidateTitle,candidateType,score,scoreStatus,searchStatus,manualDecision,notes
6a6b0e78e4b01a12d3afe77f,IR ENTERPRISES,Google,"""IR ENTERPRISES"" Nagpur official website",https://www.justdial.com/Mumbai/I-R-Enterprises-Dharavi/022PXX22-XX22-200610132219-V6T1_BZDET,justdial.com,,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,Google,"""MEENADEEP EXPERIENCES PRIVATE LIMITED"" Nagpur official website",https://www.falconebiz.com/company/MEENADEEP-EXPERIENCES-PRIVATE-LIMITED-U52291ME2026PTC475400,falconebiz.com,Falcon Ebiz,WEBSITE,5,WEAK_CANDIDATE|,SUCCESS,,
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,Google,"""MEENADEEP EXPERIENCES PRIVATE LIMITED"" Nagpur official website",https://internshala.com/internships-for-women/business-development-internship/,internshala.com,Business Development Internships for Women Internshala https://internshala.com › internships-for-women › busine...,WEBSITE,5,WEAK_CANDIDATE|,SUCCESS,,
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,Google,"""MEENADEEP EXPERIENCES PRIVATE LIMITED"" Nagpur official website","https://internshala.com/internships-for-women/business-development-internship/#:~:text=Growth%20%26%20Operations%20%2D%20Travel,Delhi%2C%20Gurgaon%20(Hybrid)",internshala.com,Read more,WEBSITE,5,WEAK_CANDIDATE|,SUCCESS,,
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,Google,"""MEENADEEP EXPERIENCES PRIVATE LIMITED"" Nagpur official website",https://internshala.com/internships-for-women/part-timepart-time-analytics-internship-in-dwarka/,internshala.com,Top 623 Paid Internships for Women in Dwarka Internshala https://internshala.com › internships-for-women › part-ti...,WEBSITE,5,WEAK_CANDIDATE|,SUCCESS,,
6a50c504e4b061f5fedf6ac3,MEENADEEP EXPERIENCES PRIVATE LIMITED,Google,"""MEENADEEP EXPERIENCES PRIVATE LIMITED"" Nagpur official website","https://internshala.com/internships-for-women/part-timepart-time-analytics-internship-in-dwarka/#:~:text=Growth%20%26%20Operations%20%2D%20Travel,Delhi%2C%20Gurgaon%20(Hybrid)",internshala.com,Read more,WEBSITE,5,WEAK_CANDIDATE|,SUCCESS,,
6a4f4b45e4b061f5feded1ec,SHIVAKHYA INFRA PRIVATE LIMITED,Google,"""SHIVAKHYA INFRA PRIVATE LIMITED"" Nagpur official website",https://www.zaubacorp.com/company-by-address/103--MAA-BHAGWATI-NAGAR-----NAGPUR--MAHARASHTRA--INDIA---440034,zaubacorp.com,Zauba Corp,DIRECTORY,0,DIRECTORY,SUCCESS,,
6a4f4b45e4b061f5feded1ec,SHIVAKHYA INFRA PRIVATE LIMITED,Google,"""SHIVAKHYA INFRA PRIVATE LIMITED"" Nagpur official website",https://www.falconebiz.com/company/SHIVAKHYA-INFRA-PRIVATE-LIMITED-U42101ME2026PTC474775,falconebiz.com,FalconeBiz,WEBSITE,5,WEAK_CANDIDATE|,SUCCESS,,
6a4f4b45e4b061f5feded1ec,SHIVAKHYA INFRA PRIVATE LIMITED,Google,"""SHIVAKHYA INFRA PRIVATE LIMITED"" Nagpur official website",https://www.planetexim.net/indian-company/shivakhya-infra-private-limited/cin/U42101ME2026PTC474775.html,planetexim.net,,WEBSITE,5,WEAK_CANDIDATE|,SUCCESS,,
6a4f4b45e4b061f5feded1ec,SHIVAKHYA INFRA PRIVATE LIMITED,Google,"""SHIVAKHYA INFRA PRIVATE LIMITED"" Nagpur official website",https://www.zaubacorp.com/company-by-address/103--MAA-BHAGWATI-NAGAR-----NAGPUR--MAHARASHTRA--INDIA---440034#:~:text=Previous,zaubacorp.com,Read more,DIRECTORY,0,DIRECTORY,SUCCESS,,
