startupId,startupName,dippNumber,dippRecognitionStatus,cin,stage,city,state,industry,sectors,website,email,phone,linkedInUrl,profileStatus,scrapedEmail,scrapedPhone,scrapedLinkedIn,pagesChecked,scrapeStatus,scrapeError,cleanedEmail,cleanedPhone,cleanedLinkedIn,errorType
627279c4e4b028cbac0c2259,VASTUWISHWAS (OPC) PRIVATE LIMITED,DIPP101740,RECOGNISED,U70109MH2022OPC381108,Prototype,Nagpur,Maharashtra,Real Estate,Housing,https://www.vastuwishwas.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.vastuwishwas.com/
Call log:
  - navigating to ""https://www.vastuwishwas.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
625678d1e4b00f07df34aae0,NATRAJ BEVERAGES AND FOODS PRIVATE LIMITED,DIPP109478,RECOGNISED,U15549MH2021PTC370584,Validation,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://NATRAJINDIA.IN,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://natrajindia.in/
Call log:
  - navigating to ""https://natrajindia.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
6242fb68e4b0e4f8d277a395,TRIBUGS IN PRIVATE LIMITED,DIPP99711,RECOGNISED,U72900MH2021PTC369966,EarlyTraction,Nagpur,Maharashtra,IT Services,Web Development,https://www.tribugs.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.tribugs.com/
Call log:
  - navigating to ""https://www.tribugs.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
6235896ee4b0e4f8d273b000,SmartHire Consultant Private Limited,DIPP108487,RECOGNISED,U93090MH2022PTC375619,Prototype,Nagpur,Maharashtra,Human Resources,Others,http://smarthire.info/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at http://smarthire.info/
Call log:
  - navigating to ""http://smarthire.info/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
622efc5fe4b0e4f8d27164bf,PAW&TAILS SOLUTIONS PRIVATE LIMITED,DIPP138924,RECOGNISED,U52209MH2022PTC374888,EarlyTraction,Nagpur,Maharashtra,Pets & Animals,Others,https://www.dobbythechef.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.dobbythechef.com/
Call log:
  - navigating to ""https://www.dobbythechef.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
6222f0c5e4b0e4f8d26d9b4d,ORANGELEAF SERVICES PRIVATE LIMITED,DIPP97388,RECOGNISED,U74999MH2018PTC306575,Validation,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Services,https://www.nriway.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_ABORTED at https://www.nriway.com/
Call log:
  - navigating to ""https://www.nriway.com/"", waiting until ""domcontentloaded""
",,,,HTTP_ERROR
620df3b5e4b0e4f8d2665a60,KRUSHNARPAN COMMERCIALS PRIVATE LIMITED,DIPP95277,RECOGNISED,U45309MH2021PTC370369,Validation,Nagpur,Maharashtra,Professional & Commercial Services,Business Support Supplies,https://www.kcplnagpur.com/#,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.kcplnagpur.com/#
Call log:
  - navigating to ""https://www.kcplnagpur.com/#"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62050406e4b0e4f8d262aa97,Godbole (G) Naturals And Dairy Farms Llp,DIPP123530,RECOGNISED,AAV-3779,EarlyTraction,Nagpur,Maharashtra,Green Technology,Clean Tech,https://www.gnaturals.in,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.gnaturals.in/
Call log:
  - navigating to ""https://www.gnaturals.in/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62037567e4b0e4f8d261f3d0,RITESHRI UDYOG PRIVATE LIMITED,DIPP98285,RECOGNISED,U51909MH2020PTC343819,EarlyTraction,Nagpur,Maharashtra,Food & Beverages,Food Processing,https://riteshriudyog.com,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://riteshriudyog.com/
Call log:
  - navigating to ""https://riteshriudyog.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
62036338e4b0e4f8d261eb7a,SONI PAINTS PRIVATE LIMITED,DIPP94702,RECOGNISED,U24222MH2020PTC338852,Validation,Nagpur,Maharashtra,Construction,Construction Materials,https://goodwillpaint.com/,,,,OK,,,,0,ERROR,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://goodwillpaint.com/
Call log:
  - navigating to ""https://goodwillpaint.com/"", waiting until ""domcontentloaded""
",,,,DNS_ERROR
