startupId,startupName,originalWebsite,methodUsed,verifiedWebsite,emails,phones,linkedin,status,errorType,httpStatus,finalURL,attempts,notes
6687b77ae4b014c9a9a0e9a2,OXXYCAFE BHARAT PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
668663dde4b014c9a9a09563,RUDRA TRANSBLUE PRIVATE LIMITED,https://rudratransblue.com/lander,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66767993e4b0facc95a653dd,MRPRINT WORLD PRIVATE LIMITED,https://NA,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66701699e4b0bd5d3c2e602c,SRW WIRES &amp; CABLES PRIVATE LIMITED,http://www.srwwirescables.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
666ad162e4b0bd5d3c2d8d35,TASKEASE MULTI SOLUTIONS PRIVATE LIMITED,https://TASKEASE MULTI SOLUTIONS PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66698b63e4b0bd5d3c2d0056,ARCHIS HEALTH CARE PRIVATE LIMITED,https://ARCHIS HEALTH CARE PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6666d0bbe4b0bd5d3c2bdabd,THINKONIC SOFTWARE PRIVATE LIMITED,https://THINKONIC SOFTWARE PRIVATE LIMITED,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
66632d3ce4b0c35880da94b9,PASHAAN TECHNOLOGIES PRIVATE LIMITED,https://www.dreaminnovators.in,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
6661bda5e4b064981a551eb6,AYURAFIT ORGANICS PRIVATE LIMITED,https://www.ayurafitorganisc.com,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
665963eee4b06e49b59f7dba,SHUBHAM SYNDICATE LLP,https://SHUBHAM SYNDICATE LLP,Fetcher + StealthyFetcher,,,,,ERROR,DNS_UNRESOLVED,,,2,Domain does not currently resolve through DNS; Scrapling cannot retrieve a domain with no DNS record.
